name,latex,category,average,error,measurements
BR_Lambdab0_K-_D0_p.-BR_Lambdab0_pi-_D0_p,\frac{{\cal{B}} ( \Lambda_b^{0} \to D^{0} p K^{-} ) }{ {\cal{B}} ( \Lambda_b^{0} \to D^{0} p \pi^{-} )},Bbaryon/D,0.07840881240362992,0.008607155901120699,"[{'value': 0.073, 'error': 0.011169491020860955}, {'value': 0.112, 'error': 0.025998451891820918}]"
BR_Lambdab0_D0_p_pi.BR_D0_K_pi.-BR_Lambdab0_Lambdac_pi.BR_Lambdac_p_K_pi,\frac{ {\cal{B}} ( \Lambda_b^{0} \to D^{0} p \pi^{-})  \times {\cal{B}} ( D^{0} \to K^{+} \pi^{-} )} {  {\cal{B}} ( \Lambda_b^{0} \to \Lambda_c^{+} \pi^{-} )   \times   {\cal{B}}  (\Lambda_c^{+} \to  p K^{-} \pi^{+}) },Bbaryon/D,0.0806,0.004188078318274384,"[{'value': 0.0806, 'error': 0.0054580216195980755}]"
f_Xib0.BR_Xib0_D0_p_K-f_Lambdab0.BR_Lambdab0_D0_p_K,\frac{ f_{\Xi_b^{0}} \times{\cal{B}} ( \Xi_b^{0} \to D^{0} p K^{-} )   } { f_{\Lambda_b^{0}} \times{\cal{B}} ( \Lambda_b^{0} \to D^{0} p K^{-})  },Bbaryon/D,0.44000000000000006,0.10816653826370884,"[{'value': 0.44, 'error': 0.1236931687685298}]"
BR_Lambdab0_p_K-_chic2.-BR_Lambdab0_p_K-_chic1,\frac{ {\cal{B}}( \Lambda_b^0 \to \chi_{c2} p K^- ) }{ {\cal{B}}( \Lambda_b^0 \to \chi_{c1} p K^- ) },Bbaryon/cc,1.02,0.11419055689206256,"[{'value': 1.02, 'error': 0.11532562594670798}]"
BR_Lambdab0_p_K-_Jpsi,{\cal{B}} ( \Lambda_b^{0} \to J/\psi p K^{-} ),Bbaryon/cc,0.0031709338399558886,0.00037417283861918883,"[{'value': 0.00317, 'error': 0.0005288572943196896}]"
BR_Lambdab0_psi2S_Lambda0.-BR_Lambdab0_Jpsi_Lambda0,\frac{{\cal{B}} ( \Lambda_b^{0} \to \psi(2S) \Lambda )}{{\cal{B}} ( \Lambda_b^{0} \to J/\psi \Lambda )},Bbaryon/cc,0.611687170296534,0.037933438132664914,"[{'value': 5.13, 'error': 0.34088121098118623}, {'value': 0.501, 'error': 0.04255584566190643}]"
f_b_Lambdab0.BR_Lambdab0_Jpsi_Lambda0,{f_{\Lambda_b} \times \cal{B}} ( \Lambda_b^{0} \to J/\psi \Lambda ),Bbaryon/cc,0.000601,8.802272433866154e-05,"[{'value': 0.000601, 'error': 0.00010906878563548782}]"
sigma_Omegab-.BR_Omegab-_Jpsi_Omega-.-sigma_Lambdab0.-BR_Lambdab0_Jpsi_Lambda0,\frac{f_{\Omega_b^{-}} \times {\cal{B}} ( \Omega_b^{-} \to J/\psi \Omega^{-} ) }{ f_{\Lambda_b^{0}}  \times   {\cal{B}} ( \Lambda_b^{0} \to J/\psi \Lambda )},Bbaryon/cc,0.045,0.015054881378903566,"[{'value': 0.045, 'error': 0.015591486014295261}]"
BR_Lambdab0_Jpsi_pi+_pi-_p_K-.-BR_Lambdab0_Jpsi_p_K-,\frac{{\cal{B}} ( \Lambda_b^{0} \to J/\psi \pi^{+} \pi^{-} p K^{-} )}{{\cal{B}} ( \Lambda_b^{0} \to J/\psi p K^{-} )},Bbaryon/cc,2.086,0.16483931569787766,"[{'value': 2.086, 'error': 0.2124335190124195}]"
alphab_Lambdab0_Jpsi_Lambda0,\alpha_b ( \Lambda_b^{0} \to J/\psi \Lambda ),Bbaryon/cc,0.08330875166314161,0.1209779752585205,"[{'value': 0.5, 'error': 1.9672315572906003}, {'value': -0.14, 'error': 0.198997487421324}, {'value': 0.3, 'error': 0.18110770276274835}]"
BR_Lambdab0_Jpsi_p_pi-.-BR_Lambdab0_Jpsi_p_K-,\frac{{\cal{B}} ( \Lambda_b^{0} \to J/\psi p \pi^{-} )}{{\cal{B}} ( \Lambda_b^{0} \to J/\psi p K^{-} )},Bbaryon/cc,0.0824,0.004887739763939976,"[{'value': 0.0824, 'error': 0.006444377394287208}]"
BR_Lambdab0_Lambda0_Jpsi,{\cal{B}} ( \Lambda_b^{0} \to J/\psi \Lambda ),Bbaryon/cc,0.0047,0.0028319604517012603,"[{'value': 0.0047, 'error': 0.003410278580995987}]"
BR_Lambdab0_p_K-_chic2.-BR_Lambdab0_p_K-_Jpsi,\frac{ {\cal{B}}( \Lambda_b^0 \to \chi_{c2} p K^- ) }{ {\cal{B}}( \Lambda_b^0 \to J/\psi p K^- ) },Bbaryon/cc,0.24799999999999997,0.025224276680670867,"[{'value': 0.248, 'error': 0.029546573405388316}]"
BR_Lambdab0_psi2S_p_K-.-BR_Lambdab0_Jpsi_p_K-,\frac{{\cal{B}} ( \Lambda_b^{0} \to \psi(2S)  p K^{-} )}{{\cal{B}} ( \Lambda_b^{0} \to J/\psi p K^{-} )},Bbaryon/cc,1.908264232653392,0.10341446344882683,"[{'value': 2.07, 'error': 0.10666302077102449}]"
sigma_Xib-.BR_Xib-_Jpsi_Xi-.-sigma_Lambdab0.-BR_Lambdab0_Jpsi_Lambda0,\frac{f_{\Xi_b^{-}} \times {\cal{B}} ( \Xi_b^{-} \to J/\psi \Xi^{-} ) }{ f_{\Lambda_b^{0}} \times {\cal{B}} ( \Lambda_b^{0} \to J/\psi \Lambda )},Bbaryon/cc,0.167,0.03330879170396677,"[{'value': 0.167, 'error': 0.03546107736678575}]"
BR_Lambdab0_p_K-_chic1.-BR_Lambdab0_p_K-_Jpsi,\frac{ {\cal{B}}( \Lambda_b^0 \to \chi_{c1} p K^- ) }{ {\cal{B}}( \Lambda_b^0 \to J/\psi p K^- ) },Bbaryon/cc,0.242,0.019229510854396552,"[{'value': 0.242, 'error': 0.02479919353527449}]"
